Rank,Name_fixed,gender,past_3_years_bike_related_purchases,Age,job_industry_category,wealth_segment,deceased_iNdicator_fixed,owns_car,tenure,address No.,Address_fixed,country,property_valuation,Value
396,Lura Fawdrie,Female,66,21,Health,Mass Customer,NO,Yes,4,67183,Anniversary Parkway  ,Australia,3,0.94
468,Moina Rosenbaum,Female,50,22,IT,Mass Customer,NO,No,14,0,Memorial Road  ,Australia,10,0.89
1,Ardelis Forrester,Female,10,49,Financial Services,Affluent Customer,NO,No,10,5,Colorado Crossing  ,Australia,5,1.72
4,Lucine Stutt,Female,64,44,Manufacturing,Affluent Customer,NO,Yes,5,207,Annamark Plaza  ,Australia,1,1.70
4,Melinda Hadlee,Female,34,58,Financial Services,Affluent Customer,NO,No,19,115,Montana Place  ,Australia,9,1.70
515,Isa Fominov,Male,75,22,n/a,Mass Customer,NO,Yes,5,80388,Ryan Place  ,Australia,9,0.84
6,Druci Brandli,Female,39,72,Entertainment,High Net Worth,NO,Yes,22,89105,Pearson Terrace  ,Australia,7,1.67
568,Ailyn Howgate,Female,66,22,Manufacturing,Mass Customer,NO,Yes,2,197,Northport Plaza  ,Australia,7,0.80
741,Tomaso Horsley,Male,97,22,Financial Services,Mass Customer,NO,Yes,10,70360,Onsgard Plaza  ,Australia,6,0.66
10,Rockwell Matson,Male,94,28,Retail,High Net Worth,NO,No,3,3682,Crowley Point  ,Australia,6,1.64
843,Melosa McOwan,Female,25,22,Financial Services,Mass Customer,NO,No,12,900,Victoria Way  ,Australia,9,0.57
997,Burk Wortley,Male,22,22,Health,Mass Customer,NO,No,6,4,Union Crossing  ,Australia,10,0.36
215,Kippy Barabisch,Male,11,23,Manufacturing,Mass Customer,NO,No,4,840,Graceland Street  ,Australia,11,1.13
226,Hersh Stubbert,Male,0,23,Manufacturing,Mass Customer,NO,Yes,15,68,Fairfield Street  ,Australia,8,1.11
259,Tanya Hamberston,Female,45,23,n/a,Mass Customer,NO,Yes,9,7,Schiller Point  ,Australia,6,1.06
16,Dukie Swire,Male,88,69,Manufacturing,Affluent Customer,NO,Yes,5,64,Granby Parkway  ,Australia,8,1.56
468,Norah Mapis,Female,75,23,Argiculture,Mass Customer,NO,No,10,57,Victoria Crossing  ,Australia,9,0.89
893,Kelcie Kingaby,Female,54,23,IT,Mass Customer,NO,Yes,6,0,Summit Center  ,Australia,4,0.52
19,Karly Willavize,Female,2,69,Manufacturing,High Net Worth,NO,No,12,193,North Point  ,Australia,10,1.53
19,Odilia Quick,Female,65,85,Manufacturing,Affluent Customer,NO,Yes,11,1550,Russell Way  ,Australia,11,1.53
12,Wheeler Winward,Male,48,24,Manufacturing,Mass Customer,NO,No,10,3,Golden Leaf Point ,Australia,8,1.63
334,Ebony Conrad,Female,8,24,Financial Services,Mass Customer,NO,Yes,16,990,Hoffman Avenue  ,Australia,7,1.00
361,Clotilda Southers,Female,62,24,Financial Services,Mass Customer,NO,Yes,15,42,Donald Hill  ,Australia,4,0.98
23,Tabbatha Averill,Female,5,46,n/a,Affluent Customer,NO,Yes,13,663,8th Parkway  ,Australia,8,1.50
552,Cord Dunsmore,Male,12,24,Manufacturing,Mass Customer,NO,Yes,13,596,Boyd Park  ,Australia,3,0.82
26,Claudine Barstowk,Female,71,57,Property,High Net Worth,NO,Yes,5,1859,Forest Circle  ,Australia,11,1.47
26,Blinnie Roze,Female,84,63,Entertainment,High Net Worth,NO,No,11,44557,Rutledge Court  ,Australia,7,1.47
708,Alta Pithcock,Female,64,24,Financial Services,Mass Customer,NO,No,2,57568,Northview Junction  ,Australia,7,0.68
23,Otis Ottey,Male,26,25,n/a,Mass Customer,NO,No,3,1562,Merchant Street  ,Australia,4,1.50
30,Sharron Claibourn,Female,62,43,Financial Services,High Net Worth,NO,Yes,17,555,Hermina Avenue  ,Australia,8,1.46
30,Rhona De Freyne,Female,45,63,Health,High Net Worth,NO,No,8,11184,East Drive  ,Australia,10,1.46
202,Alano Satchel,Male,2,25,n/a,Mass Customer,NO,No,2,87107,Shelley Crossing  ,Australia,7,1.14
530,Dallas Lavalde,Female,18,25,n/a,Mass Customer,NO,No,12,16898,Donald Plaza  ,Australia,4,0.83
575,Kirsteni Gritskov,Female,66,25,n/a,Mass Customer,NO,No,4,743,Stuart Terrace  ,Australia,7,0.80
